Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,CarbonEmission,Microwave,Stove,Grill,Oven,Airfryer,coal,electricity,natural gas,wood,diesel,electric,hybrid,lpg,petrol,private,public,walk/bicycle,extra large,large,medium,small
2,228,5,1948,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1490,1,1588,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,9663,3,3938,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3,15,2,1730,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,30,2,3147,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,10,5,1618,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,442,2,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,99,4,1848,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,95,6,2540,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,352,2,1691,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,821,4,1616,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,21,7,1907,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,39,6,2226,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1055,7,1467,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2,78,2,1968,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,403,5,1187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,54,5,1155,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,4191,7,4492,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
3,913,4,1785,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,92,7,1751,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,684,6,1896,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,831,2,1409,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,835,6,2117,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2,8311,2,3190,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,171,2,2274,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,3424,7,3425,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,19,2,1075,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,6873,2,1067,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
3,8676,2,2237,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,14,6,2707,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,336,6,1986,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,5284,2,3597,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2,1690,3,1755,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1128,7,2906,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,2988,5,1501,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,4999,5,1729,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,2236,3,2360,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2,1682,1,1731,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,2,4,1980,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,35,1,1349,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,360,4,2396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,371,2,2060,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,86,5,1463,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,71,2,1979,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,22,7,1775,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,1308,5,1824,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,851,1,867,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,7386,1,5360,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3,3374,6,5034,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,58,4,1224,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,2035,7,1950,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,6365,2,2493,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,18,1,1127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,5795,2,1791,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,1116,7,2309,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3,13,1,2331,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,53,6,1933,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,13,4,1782,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,88,7,1746,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,7507,1,3939,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
3,1370,4,3251,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
2,25,4,1906,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,59,3,955,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1480,4,1377,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1568,1,1484,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1704,7,1437,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,65,3,968,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,7450,2,4257,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
3,75,3,1881,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,981,3,2824,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,45,6,2010,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2,1921,7,2567,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,9086,4,1593,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2,5652,3,3767,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,999,3,1087,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,339,5,1625,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,2098,3,2487,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2,12,6,1324,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,83,7,2371,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1591,7,1257,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,960,5,3147,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,2089,7,2577,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
3,14,4,2689,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,65,4,1756,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,983,7,2781,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,504,4,2236,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1417,6,1378,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,91,6,2439,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1519,7,1119,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2,1235,6,2141,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,1872,6,2443,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,589,7,1943,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1244,2,1499,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,91,3,2727,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,19,7,1590,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,2369,2,1945,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,78,1,559,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1869,6,1877,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,8524,4,4931,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,24,6,1304,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,753,4,1782,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,73,1,1783,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,57,4,601,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,809,5,1827,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,574,4,1455,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,86,5,2598,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3,10,6,2089,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,2989,5,2036,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,8442,6,3959,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0,799,6,2067,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,3538,3,3736,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,61,2,2462,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,8954,1,5390,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,1861,3,3126,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1657,7,2440,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3,1406,3,2567,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,81,2,2278,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3297,2,1775,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,129,5,1386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1724,7,1591,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,710,2,3221,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2,1101,4,2177,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,1973,7,2311,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,85,3,1503,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,290,5,2208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2,97,2,1329,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,47,3,1457,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,42,3,1601,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,1,2,1867,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,37,4,1895,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,5139,7,3230,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2,31,4,2336,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,5020,3,3264,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,8931,3,3683,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,1676,6,1975,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,5222,4,3595,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
3,4819,1,2636,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,1817,2,1845,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,70,1,1140,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2836,4,3855,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,7153,1,1404,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
3,54,1,2697,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,857,1,2047,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,381,3,1271,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1523,2,2199,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,9,3,1925,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,8474,4,5072,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,1766,6,3490,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,1781,2,3204,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,93,5,560,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,9025,2,2894,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,79,3,1176,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,7908,7,5034,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
0,6338,2,3087,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
3,1935,2,2658,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,6848,3,3557,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2,7,6,1264,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,91,2,1698,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,278,6,2572,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,98,5,2000,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,379,6,1998,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,9060,2,727,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,86,1,2107,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,65,7,1709,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,1633,5,2551,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2,9649,5,2181,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3,42,5,4082,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
3,86,1,2297,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,19,4,1168,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,4078,4,1505,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1,1828,7,1881,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,72,3,1604,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2071,3,2108,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2,14,5,1883,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1045,6,1022,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,92,7,2051,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,9910,3,4786,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0,1247,1,1284,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,5191,5,2436,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,278,2,1150,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,1251,4,3077,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,52,6,2268,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,9087,5,4767,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
3,41,3,2823,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,1434,2,1620,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,66,3,1290,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,8711,3,5108,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3,89,4,2799,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,634,1,1206,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,5885,2,2107,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1317,1,1233,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,27,4,2140,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,4707,1,4005,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,6478,5,4070,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0,1133,5,930,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,92,4,1674,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,658,4,1707,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2,1275,2,2120,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,29,1,1009,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,4360,7,3152,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2,1760,6,2160,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,6544,7,1761,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3,1358,1,2777,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,4460,3,3070,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,3,4,2182,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,4,1712,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,61,6,2203,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3,720,2,2902,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,17,4,788,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,73,4,2294,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3,67,1,2464,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,4842,6,1979,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,18,2,866,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,863,7,1844,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,9989,4,1844,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2,4335,2,2831,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,42,2,1789,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2,13,6,2257,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1993,5,1568,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,78,2,2204,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,68,1,1163,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1183,5,1311,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,1343,4,1843,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,260,5,881,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,32,1,987,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,8805,3,3948,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,50,2,889,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,104,3,1331,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,23,3,2530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1484,4,1497,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1443,7,958,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,115,3,2649,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,4598,1,3078,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3,12,4,2808,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3,93,3,2196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,9339,1,4527,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2,1710,4,1668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,63,7,1475,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,2690,4,3365,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,8477,7,4021,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,7644,6,4028,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,37,7,1110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,1979,4,2004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,20,3,2346,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,5876,7,4926,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3,8841,7,5571,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
3,48,4,2484,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,9439,3,6067,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2,62,2,1556,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,49,1,1797,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,8956,5,3579,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2,58,4,1522,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,572,7,2259,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,964,3,1699,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,1023,7,1994,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,280,5,1401,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,1499,5,2429,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,4250,5,3294,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,1005,5,2277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,79,2,1274,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,58,4,513,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,50,5,1809,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2742,7,2630,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1309,3,1875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,624,6,2647,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,4413,2,1084,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,87,1,2417,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3,34,1,2458,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1668,2,1645,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
